id,symbol,indicator,signal,date
612,NVDA,bollinger,Hold,2016-09-04
613,NVDA,ma-cross,Buy,2016-09-04
614,NVDA,dmi,Buy,2016-09-04
615,NVDA,mfi,Hold,2016-09-04
616,NVDA,trendline,Buy,2016-09-04
617,NVDA,rsi,Hold,2016-09-11
618,NVDA,macd,Sell,2016-09-11
619,NVDA,bollinger,Buy,2016-09-11
620,NVDA,ma-cross,Buy,2016-09-11
621,NVDA,dmi,Sell,2016-09-11
622,NVDA,mfi,Hold,2016-09-11
623,NVDA,trendline,Sell,2016-09-11
624,NVDA,rsi,Hold,2016-09-18
625,NVDA,macd,Sell,2016-09-18
