id,symbol,indicator,signal,date
293,GOOGL,mfi,Hold,2015-10-18
294,GOOGL,trendline,Buy,2015-10-18
295,GOOGL,rsi,Hold,2015-10-25
296,GOOGL,macd,Buy,2015-10-25
297,GOOGL,bollinger,Sell,2015-10-25
298,GOOGL,ma-cross,Buy,2015-10-25
299,GOOGL,dmi,Buy,2015-10-25
300,GOOGL,mfi,Hold,2015-10-25
301,GOOGL,trendline,Buy,2015-10-25
302,GOOGL,rsi,Hold,2015-11-01
303,GOOGL,macd,Buy,2015-11-01
304,GOOGL,bollinger,Hold,2015-11-01
305,GOOGL,ma-cross,Buy,2015-11-01
306,GOOGL,dmi,Buy,2015-11-01
307,GOOGL,mfi,Hold,2015-11-01
308,GOOGL,trendline,Buy,2015-11-01
309,GOOGL,rsi,Sell,2015-11-08
310,GOOGL,macd,Buy,2015-11-08
311,GOOGL,bollinger,Hold,2015-11-08
312,GOOGL,ma-cross,Buy,2015-11-08
313,GOOGL,dmi,Buy,2015-11-08
314,GOOGL,mfi,Hold,2015-11-08
315,GOOGL,trendline,Buy,2015-11-08
316,GOOGL,rsi,Hold,2015-11-15
317,GOOGL,macd,Sell,2015-11-15
318,GOOGL,bollinger,Hold,2015-11-15
319,GOOGL,ma-cross,Buy,2015-11-15
320,GOOGL,dmi,Buy,2015-11-15
321,GOOGL,mfi,Hold,2015-11-15
322,GOOGL,trendline,Buy,2015-11-15
323,GOOGL,rsi,Hold,2015-11-22
324,GOOGL,macd,Sell,2015-11-22
325,GOOGL,bollinger,Sell,2015-11-22
326,GOOGL,ma-cross,Buy,2015-11-22
327,GOOGL,dmi,Buy,2015-11-22
328,GOOGL,mfi,Hold,2015-11-22
329,GOOGL,trendline,Buy,2015-11-22
330,GOOGL,rsi,Hold,2015-11-29
331,GOOGL,macd,Sell,2015-11-29
332,GOOGL,bollinger,Hold,2015-11-29
333,GOOGL,ma-cross,Buy,2015-11-29
334,GOOGL,dmi,Buy,2015-11-29
335,GOOGL,mfi,Hold,2015-11-29
336,GOOGL,trendline,Buy,2015-11-29
337,GOOGL,rsi,Hold,2015-12-06
338,GOOGL,macd,Sell,2015-12-06
339,GOOGL,bollinger,Hold,2015-12-06
340,GOOGL,ma-cross,Buy,2015-12-06
341,GOOGL,dmi,Buy,2015-12-06
342,GOOGL,mfi,Hold,2015-12-06
343,GOOGL,trendline,Buy,2015-12-06
344,GOOGL,rsi,Hold,2015-12-13
345,GOOGL,macd,Sell,2015-12-13
346,GOOGL,bollinger,Hold,2015-12-13
347,GOOGL,ma-cross,Buy,2015-12-13
348,GOOGL,dmi,Sell,2015-12-13
349,GOOGL,mfi,Hold,2015-12-13
350,GOOGL,trendline,Sell,2015-12-13
351,GOOGL,rsi,Hold,2015-12-20
352,GOOGL,macd,Sell,2015-12-20
353,GOOGL,bollinger,Hold,2015-12-20
354,GOOGL,ma-cross,Buy,2015-12-20
355,GOOGL,dmi,Sell,2015-12-20
356,GOOGL,mfi,Hold,2015-12-20
357,GOOGL,trendline,Sell,2015-12-20
358,GOOGL,rsi,Hold,2015-12-27
359,GOOGL,macd,Sell,2015-12-27
360,GOOGL,bollinger,Hold,2015-12-27
361,GOOGL,ma-cross,Buy,2015-12-27
362,GOOGL,dmi,Sell,2015-12-27
363,GOOGL,mfi,Hold,2015-12-27
364,GOOGL,trendline,Sell,2015-12-27
365,GOOGL,rsi,Hold,2016-01-03
366,GOOGL,macd,Buy,2016-01-03
367,GOOGL,bollinger,Hold,2016-01-03
368,GOOGL,ma-cross,Buy,2016-01-03
369,GOOGL,dmi,Buy,2016-01-03
370,GOOGL,mfi,Hold,2016-01-03
371,GOOGL,trendline,Buy,2016-01-03
372,GOOGL,rsi,Hold,2016-01-10
373,GOOGL,macd,Sell,2016-01-10
374,GOOGL,bollinger,Buy,2016-01-10
375,GOOGL,ma-cross,Buy,2016-01-10
376,GOOGL,dmi,Sell,2016-01-10
377,GOOGL,mfi,Hold,2016-01-10
378,GOOGL,trendline,Sell,2016-01-10
379,GOOGL,rsi,Hold,2016-01-17
380,GOOGL,macd,Sell,2016-01-17
381,GOOGL,bollinger,Buy,2016-01-17
382,GOOGL,ma-cross,Buy,2016-01-17
383,GOOGL,dmi,Sell,2016-01-17
384,GOOGL,mfi,Hold,2016-01-17
385,GOOGL,trendline,Sell,2016-01-17
386,GOOGL,rsi,Hold,2016-01-24
387,GOOGL,macd,Sell,2016-01-24
388,GOOGL,bollinger,Hold,2016-01-24
389,GOOGL,ma-cross,Buy,2016-01-24
390,GOOGL,dmi,Sell,2016-01-24
391,GOOGL,mfi,Hold,2016-01-24
392,GOOGL,trendline,Sell,2016-01-24
393,GOOGL,rsi,Hold,2016-01-31
394,GOOGL,macd,Buy,2016-01-31
395,GOOGL,bollinger,Hold,2016-01-31
396,GOOGL,ma-cross,Buy,2016-01-31
397,GOOGL,dmi,Sell,2016-01-31
398,GOOGL,mfi,Hold,2016-01-31
399,GOOGL,trendline,Buy,2016-01-31
400,GOOGL,rsi,Hold,2016-02-07
401,GOOGL,macd,Sell,2016-02-07
402,GOOGL,bollinger,Hold,2016-02-07
403,GOOGL,ma-cross,Buy,2016-02-07
404,GOOGL,dmi,Sell,2016-02-07
405,GOOGL,mfi,Hold,2016-02-07
406,GOOGL,trendline,Sell,2016-02-07
407,GOOGL,rsi,Hold,2016-02-14
408,GOOGL,macd,Sell,2016-02-14
409,GOOGL,bollinger,Hold,2016-02-14
410,GOOGL,ma-cross,Buy,2016-02-14
411,GOOGL,dmi,Sell,2016-02-14
412,GOOGL,mfi,Hold,2016-02-14
413,GOOGL,trendline,Sell,2016-02-14
414,GOOGL,rsi,Hold,2016-02-21
415,GOOGL,macd,Buy,2016-02-21
416,GOOGL,bollinger,Hold,2016-02-21
417,GOOGL,ma-cross,Buy,2016-02-21
418,GOOGL,dmi,Sell,2016-02-21
419,GOOGL,mfi,Hold,2016-02-21
420,GOOGL,trendline,Sell,2016-02-21
421,GOOGL,rsi,Hold,2016-02-28
422,GOOGL,macd,Buy,2016-02-28
423,GOOGL,bollinger,Hold,2016-02-28
424,GOOGL,ma-cross,Buy,2016-02-28
425,GOOGL,dmi,Sell,2016-02-28
426,GOOGL,mfi,Hold,2016-02-28
427,GOOGL,trendline,Sell,2016-02-28
428,GOOGL,rsi,Hold,2016-03-06
429,GOOGL,macd,Buy,2016-03-06
430,GOOGL,bollinger,Hold,2016-03-06
431,GOOGL,ma-cross,Buy,2016-03-06
432,GOOGL,dmi,Sell,2016-03-06
433,GOOGL,mfi,Hold,2016-03-06
434,GOOGL,trendline,Buy,2016-03-06
435,GOOGL,rsi,Hold,2016-03-13
436,GOOGL,macd,Buy,2016-03-13
437,GOOGL,bollinger,Hold,2016-03-13
438,GOOGL,ma-cross,Buy,2016-03-13
439,GOOGL,dmi,Buy,2016-03-13
440,GOOGL,mfi,Hold,2016-03-13
441,GOOGL,trendline,Buy,2016-03-13
442,GOOGL,rsi,Hold,2016-03-20
443,GOOGL,macd,Buy,2016-03-20
444,GOOGL,bollinger,Hold,2016-03-20
445,GOOGL,ma-cross,Buy,2016-03-20
446,GOOGL,dmi,Buy,2016-03-20
447,GOOGL,mfi,Hold,2016-03-20
448,GOOGL,trendline,Buy,2016-03-20
449,GOOGL,rsi,Hold,2016-03-27
450,GOOGL,macd,Buy,2016-03-27
451,GOOGL,bollinger,Hold,2016-03-27
452,GOOGL,ma-cross,Buy,2016-03-27
453,GOOGL,dmi,Buy,2016-03-27
454,GOOGL,mfi,Hold,2016-03-27
455,GOOGL,trendline,Buy,2016-03-27
456,GOOGL,rsi,Hold,2016-04-03
457,GOOGL,macd,Buy,2016-04-03
458,GOOGL,bollinger,Hold,2016-04-03
459,GOOGL,ma-cross,Buy,2016-04-03
460,GOOGL,dmi,Buy,2016-04-03
461,GOOGL,mfi,Hold,2016-04-03
462,GOOGL,trendline,Buy,2016-04-03
463,GOOGL,rsi,Hold,2016-04-10
464,GOOGL,macd,Sell,2016-04-10
465,GOOGL,bollinger,Hold,2016-04-10
466,GOOGL,ma-cross,Buy,2016-04-10
467,GOOGL,dmi,Buy,2016-04-10
468,GOOGL,mfi,Hold,2016-04-10
469,GOOGL,trendline,Buy,2016-04-10
470,GOOGL,rsi,Hold,2016-04-17
471,GOOGL,macd,Buy,2016-04-17
472,GOOGL,bollinger,Sell,2016-04-17
473,GOOGL,ma-cross,Buy,2016-04-17
474,GOOGL,dmi,Buy,2016-04-17
475,GOOGL,mfi,Hold,2016-04-17
476,GOOGL,trendline,Buy,2016-04-17
477,GOOGL,rsi,Hold,2016-04-24
